path,label,label_id,type,split
D:\data-20260324T130558Z-3-001\data\Assistance\Assistance(1-1).txt,Assistance,0,word,train
D:\data-20260324T130558Z-3-001\data\Assistance\Assistance(1-10).txt,Assistance,0,word,train
D:\data-20260324T130558Z-3-001\data\Assistance\Assistance(1-11).txt,Assistance,0,word,train
D:\data-20260324T130558Z-3-001\data\Assistance\Assistance(1-12).txt,Assistance,0,word,train
D:\data-20260324T130558Z-3-001\data\Assistance\Assistance(1-13).txt,Assistance,0,word,val
D:\data-20260324T130558Z-3-001\data\Assistance\Assistance(1-14).txt,Assistance,0,word,train
D:\data-20260324T130558Z-3-001\data\Assistance\Assistance(1-15).txt,Assistance,0,word,test
D:\data-20260324T130558Z-3-001\data\Assistance\Assistance(1-16).txt,Assistance,0,word,train
D:\data-20260324T130558Z-3-001\data\Assistance\Assistance(1-17).txt,Assistance,0,word,train
D:\data-20260324T130558Z-3-001\data\Assistance\Assistance(1-18).txt,Assistance,0,word,train
D:\data-20260324T130558Z-3-001\data\Assistance\Assistance(1-19).txt,Assistance,0,word,train
D:\data-20260324T130558Z-3-001\data\Assistance\Assistance(1-2).txt,Assistance,0,word,train
D:\data-20260324T130558Z-3-001\data\Assistance\Assistance(1-20).txt,Assistance,0,word,train
D:\data-20260324T130558Z-3-001\data\Assistance\Assistance(1-21).txt,Assistance,0,word,train
D:\data-20260324T130558Z-3-001\data\Assistance\Assistance(1-22).txt,Assistance,0,word,train
D:\data-20260324T130558Z-3-001\data\Assistance\Assistance(1-23).txt,Assistance,0,word,train
D:\data-20260324T130558Z-3-001\data\Assistance\Assistance(1-3).txt,Assistance,0,word,train
D:\data-20260324T130558Z-3-001\data\Assistance\Assistance(1-4).txt,Assistance,0,word,train
D:\data-20260324T130558Z-3-001\data\Assistance\Assistance(1-5).txt,Assistance,0,word,val
D:\data-20260324T130558Z-3-001\data\Assistance\Assistance(1-6).txt,Assistance,0,word,train
D:\data-20260324T130558Z-3-001\data\Assistance\Assistance(1-7).txt,Assistance,0,word,val
D:\data-20260324T130558Z-3-001\data\Assistance\Assistance(1-8).txt,Assistance,0,word,train
D:\data-20260324T130558Z-3-001\data\Assistance\Assistance(1-9).txt,Assistance,0,word,train
D:\data-20260324T130558Z-3-001\data\Assistance\Assistance(10-1).txt,Assistance,0,word,train
D:\data-20260324T130558Z-3-001\data\Assistance\Assistance(10-10).txt,Assistance,0,word,test
D:\data-20260324T130558Z-3-001\data\Assistance\Assistance(10-11).txt,Assistance,0,word,train
D:\data-20260324T130558Z-3-001\data\Assistance\Assistance(10-12).txt,Assistance,0,word,train
D:\data-20260324T130558Z-3-001\data\Assistance\Assistance(10-13).txt,Assistance,0,word,train
D:\data-20260324T130558Z-3-001\data\Assistance\Assistance(10-14).txt,Assistance,0,word,val
D:\data-20260324T130558Z-3-001\data\Assistance\Assistance(10-2).txt,Assistance,0,word,train
D:\data-20260324T130558Z-3-001\data\Assistance\Assistance(10-3).txt,Assistance,0,word,val
D:\data-20260324T130558Z-3-001\data\Assistance\Assistance(10-4).txt,Assistance,0,word,val
D:\data-20260324T130558Z-3-001\data\Assistance\Assistance(10-5).txt,Assistance,0,word,train
D:\data-20260324T130558Z-3-001\data\Assistance\Assistance(10-6).txt,Assistance,0,word,test
D:\data-20260324T130558Z-3-001\data\Assistance\Assistance(10-7).txt,Assistance,0,word,train
D:\data-20260324T130558Z-3-001\data\Assistance\Assistance(10-8).txt,Assistance,0,word,train
D:\data-20260324T130558Z-3-001\data\Assistance\Assistance(10-9).txt,Assistance,0,word,val
D:\data-20260324T130558Z-3-001\data\Assistance\Assistance(2-1).txt,Assistance,0,word,train
D:\data-20260324T130558Z-3-001\data\Assistance\Assistance(2-2).txt,Assistance,0,word,test
D:\data-20260324T130558Z-3-001\data\Assistance\Assistance(2-3).txt,Assistance,0,word,train
D:\data-20260324T130558Z-3-001\data\Assistance\Assistance(3-1).txt,Assistance,0,word,val
